Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1974,267,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1975,62,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1976,-9,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1977,12,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1978,-139,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1979,-74,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1980,180,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1981,60,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1982,-52,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1983,-165,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1984,-211,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1985,-37,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1986,61,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1987,-29,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1988,148,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1989,183,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1990,118,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1991,25,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1992,2,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1993,66,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1994,-53,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1995,1,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1996,18,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1997,-4,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1998,-53,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1999,23,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,2000,16,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,2001,10,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,2002,33,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,2003,-14,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,2004,-24,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,2005,18,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,2006,-63,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,2007,-36,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,2008,-65,S,Standardized data
